,productName,productLink,productPrice,productInfo
415,Casper,https://www.trendyol.com//casper/excalibur-g870-1265-dfa0x-b-intel-core-i7-12650h-32gb-ram-1tb-nvme-ssd-gen4-6gb-rtx4050-freedos-p-672157475?advertItems=eyJhZHZlcnRJZCI6IjljOWNmM2U0LTRjZjQtNGY4ZS04YTRlLTkyZjg2NzQ1MmRkZCIsInNvcnRpbmdTY29yZSI6MC4wNTkzNzI2NzYxMzQxMDk1LCJhZFNjb3JlIjowLjAzNTUwOTk3Mzc2NDQxOTU1NiwiYWRTY29yZXMiOnsiMSI6MC4wMzU1MDk5NzM3NjQ0MTk1NTYsIjIiOjAuMDM1NTA5OTczNzY0NDE5NTU2fSwiY3BjIjoxLjY3MjAwMDAwMDAwMDAwMDIsIm1pbkNwYyI6MC4wMSwiZUNwYyI6MS42MjM0NzEzOTE1MDQ4NTEsImFkdmVydFNsb3QiOjIsIm9yZGVyIjo3LCJhdHRyaWJ1dGVzIjoiIn0=,15.999 TL,"Abra A5 V20.3.2 Intel Core I7 13700h 32 Gb Ram 1 Tb Ssd 6 Gb Rtx 4050 Freedos 15,6"" Fhd 144 Hz"
416,MSI,https://www.trendyol.com//msi/gf63-thin-11ud-615xtr-i7-11800h-8gb-ddr4-rtx3050ti-gddr6-4gb-512gb-ssd-15-6-fhd-144hz-dos-p-311876054,37.999 TL,GF63 THIN 11UD-615XTR I7-11800H 8GB DDR4 RTX3050TI GDDR6 4GB 512GB SSD 15.6 FHD 144HZ DOS
417,LENOVO,https://www.trendyol.com//lenovo/v15-g3-amd-ryzen-7-5825u-16gb-512gb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-82tv004mtx-p-686366293,97.899 TL,"V15 G3 Amd Ryzen 7 5825u 16gb 512gb Ssd Freedos 15.6"" Fhd Taşınabilir Bilgisayar 82tv004mtx"
418,LENOVO,https://www.trendyol.com//lenovo/ideapad3-81wq00j1tx-intel-celeron-n4020-1-1ghz-islemci-4gb-ram-128gb-ssd-15-6-windows-11-p-300100920,33.099 TL,"Ideapad3 81wq00j1tx Intel Celeron N4020-1.1ghz Işlemci 4gb Ram 128gb Ssd 15.6"" Windows 11"
420,ASUS,https://www.trendyol.com//asus/b1500cepe-bq0991-i5-1135g7-8gb-256ssd-2gb-mx330-15-6-dos-p-778778517,22.699 TL,"B1500CEPE-BQ0991 i5 1135G7 8GB 256SSD 2GB MX330 15,6"" DOS"
421,Monster,https://www.trendyol.com//monster/semruk-s7-v9-2-2-intel-core-i9-13950hx-64-gb-ram-2-tb-ssd-8-gb-rtx-4070-freedos-17-qhd-240-hz-p-759339504,25.099 TL,"Semruk S7 V9.2.2 Intel Core i9 13950HX 64 GB RAM 2 TB SSD 8 GB RTX 4070 FreeDos 17"" QHD+ 240 Hz"
422,ASUS,https://www.trendyol.com//asus/x515ma-ej680w-n4020-4gb-128gb-emmc-windows-11-home-15-6-full-hd-notebook-p-737952984,29.999 TL,"X515MA-EJ680W N4020 4GB 128GB eMMC Windows 11 Home 15.6"" Full HD Notebook"
423,Casper,https://www.trendyol.com//casper/g870-1265-dxb0x-b-intel-core-i7-12650h-32gb-ram-2tb-nvme-ssd-8gb-rtx4060-freedos-p-672155829?advertItems=eyJhZHZlcnRJZCI6IjdlMWRjYTQxLTBlNTUtNDFmNS1iZmIwLWFjODg2NTU0MTNjNCIsInNvcnRpbmdTY29yZSI6MC4wNTQyMTE1MzEzNzA4NzgyMjQsImFkU2NvcmUiOjAuMDMyNDIzMTY0Njk1NTAxMzMsImFkU2NvcmVzIjp7IjEiOjAuMDMyNDIzMTY0Njk1NTAxMzMsIjIiOjAuMDMyNDIzMTY0Njk1NTAxMzN9LCJjcGMiOjEuNjcyMDAwMDAwMDAwMDAwMiwibWluQ3BjIjowLjAxLCJlQ3BjIjoxLjQ3MjAxOTUyMzI0MDkwMTcsImFkdmVydFNsb3QiOjQsIm9yZGVyIjoxNSwiYXR0cmlidXRlcyI6IiJ9,23.199 TL,"G5 MF - i5 12500H –RTX 4050 – 16GB Ram– 512GB -15,6 Ekran Win11 İngilizce Q Klavye"
424,Casper,https://www.trendyol.com//casper/nirvana-x600-1235-df00r-k-f-intel-core-i5-1235u-32gb-ram-1tb-nvme-ssd-gen4-windows-11-pro-p-788636899,24.999 TL,Nirvana X600.1235-DF00R-K-F Intel Core i5-1235U 32GB RAM 1TB NVME SSD GEN4 Windows 11 Pro
425,Casper,https://www.trendyol.com//casper/excalibur-g770-1245-8vj0x-b-intel-core-i5-12450h-8gb-ram-500-gb-nvme-ssd-gen4-4gb-rtx3050-freedos-p-311975826,27.999 TL,Excalibur G770.1245-8VJ0X-B Intel Core i5-12450H 8GB RAM 500 GB NVME SSD GEN4 4GB RTX3050 FreeDos
426,ACER,https://www.trendyol.com//acer/nitro-5-an515-46-amd-ryzen-5-6600h-8-gb-512-gb-ssd-rtx3050-dos-15-6-fhd-notebook-nh-qgxey-001-p-307924183,25.499 TL,"Nitro 5 An515-46 Amd Ryzen 5 6600h 8 Gb 512 Gb Ssd Rtx3050 Dos 15.6"" Fhd Notebook Nh.qgxey.001"
427,Gigabyte,https://www.trendyol.com//gigabyte/g5-mf-i5-12500h-rtx-4050-16gb-ram-512gb-15-6-ekran-win11-ingilizce-q-klavye-p-792223678?advertItems=eyJhZHZlcnRJZCI6ImU1MjJjNjdiLWIxZDctNGFmNy1iZDU3LTM2YTExMzkwMGNkYSIsInNvcnRpbmdTY29yZSI6MC4wNDcwNzkwNjgwNDYwNjMxOCwiYWRTY29yZSI6MC4wMzA3OTA3NTczODc4NzY1MSwiYWRTY29yZXMiOnsiMSI6MC4wMzA3OTA3NTczODc4NzY1MSwiMiI6MC4wMzA3OTA3NTczODc4NzY1MX0sImNwYyI6MS41MjksIm1pbkNwYyI6MC4wMSwiZUNwYyI6MS40Mjg0NzA4ODc3NTk0ODA3LCJhZHZlcnRTbG90Ijo1LCJvcmRlciI6MTksImF0dHJpYnV0ZXMiOiIifQ==,29.999 TL,"Abra A5 V20.4.4 Intel Core i5 12450H 16 GB RAM 1 TB SSD 6 GB RTX 4050 FreeDos 15,6"" FHD 144 Hz"
428,ACER,https://www.trendyol.com//acer/nitro-5-an515-57-intel-core-i5-11400h-16gb-512gb-ssd-gtx1650-freedos-15-6-fhd-144-hz-tasinabi-p-760824297,59.999 TL,Nitro 5 AN515-57 Intel Core i5 11400H 16GB 512GB SSD GTX1650 Freedos 15.6'' FHD 144 Hz Taşınabi
429,LENOVO,https://www.trendyol.com//lenovo/loq-intel-i5-12450h-8gb-ram-512gb-ssd-nvidia-geforce-rtx-4050-6gb-gddr6-15-6-fhd-ips-w11-gri-p-769527185,15.999 TL,"LOQ Intel I5-12450H 8GB RAM 512Gb SSD Nvidia Geforce RTX 4050 6GB Gddr6 15.6"" FHD IPS W11 GRI"
430,Casper,https://www.trendyol.com//casper/nirvana-x600-139h-bv00p-g-f-intel-core-i7-11390h-16-gb-ram-500gb-nvme-ssd-gen4-windows-11-p-774081764,11.999 TL,Nirvana X600.139H-BV00P-G-F Intel Core i7-11390H 16 GB RAM 500GB NVME SSD GEN4 Windows 11
432,ASUS,https://www.trendyol.com//asus/16-zenbook-pro-16x-oled-multi-touch-laptop-tech-black-p-788642241,16.999 TL,"16"" Zenbook Pro 16X OLED Multi-Touch Laptop (Tech Black)"
433,Huawei,https://www.trendyol.com//huawei/matebook-16s-i9-13900h-16-gb-1-tb-ssd-16-w11-dizustu-bilgisayar-p-779075650,27.999 TL,"MateBook 16S i9-13900H 16 GB 1 TB SSD 16"" W11 Dizüstü Bilgisayar"
434,ASUS,https://www.trendyol.com//asus/e1504fa-nj113w-fhd-ryzen5-7520u-8gb-ram-512ssd-win11-15-6-gumus-notebook-p-773623428,33.999 TL,"E1504fa- Nj113w Fhd Ryzen5 - 7520u 8gb Ram 512ssd Wın11 15,6” Gümüş Notebook"
435,Casper,https://www.trendyol.com//casper/excalibur-g870-1245-bva0x-b-intel-core-i5-12450h-16gb-ram-500-gb-nvme-ssd-gen4-6gb-rtx4050-freedos-p-672154325?advertItems=eyJhZHZlcnRJZCI6IjhiMWZlYTYwLWMyMGUtNDk3Ny1hZTg3LWJkNDgzNGNkMTllNiIsInNvcnRpbmdTY29yZSI6MC4wNjU0MjQ4MzQzNDA4MTA3OCwiYWRTY29yZSI6MC4wMzkxMjk2ODU2MTA1MzI3NiwiYWRTY29yZXMiOnsiMSI6MC4wMzkxMjk2ODU2MTA1MzI3NiwiMiI6MC4wMzkxMjk2ODU2MTA1MzI3Nn0sImNwYyI6MS42NzIwMDAwMDAwMDAwMDAyLCJtaW5DcGMiOjAuMDEsImVDcGMiOjEuNTM3MzMwNjcwNTE1MjAzNywiYWR2ZXJ0U2xvdCI6MSwib3JkZXIiOjMsImF0dHJpYnV0ZXMiOiIifQ==,24.999 TL,Excalibur G870.1265-DFA0X-B Intel Core i7-12650H 32GB RAM 1TB NVME SSD GEN4 6GB RTX4050 Freedos
436,ASUS,https://www.trendyol.com//asus/vivobook-15-m1502ia-ej132-ryzen-5-4600h-8gb-256gb-ssd-15-6-full-hd-freedos-notebook-p-350174650,35.236 TL,"Vivobook 15 M1502ıa-ej132 Ryzen 5 4600h 8gb 256gb Ssd 15.6"" Full Hd Freedos Notebook"
437,LENOVO,https://www.trendyol.com//lenovo/thinkpad-gen4-e15-i7-1255u-16gb-512gb-ssd-15-6-fhd-freedos-21e6006ytx-p-470308450,35.499 TL,Thinkpad Gen4 E15 I7-1255u 16gb 512gb Ssd 15.6 Fhd Freedos 21e6006ytx
438,Huawei,https://www.trendyol.com//huawei/huawei-matebook-d16-12th-gen-i5-8gb-512gb-16-uzay-gri-p-331538976,13.799 TL,"Huaweı Matebook D16 12th Gen I5 8gb/512gb 16"" (UZAY GRİ)"
440,ACER,https://www.trendyol.com//acer/nitro-5-an515-57-corei7-11800h-16gb-512gb-ssd-rtx-3070-8gb-fdos-15-6-notebook-nh-qfgey-002-p-343021074,37.999 TL,"Nitro 5 AN515-57 Corei7 11800H 16GB 512GB SSD RTX 3070 8GB FDOS 15.6"" Notebook NH.QFGEY.002"
441,LENOVO,https://www.trendyol.com//lenovo/ideapad-1-15alc7-82r400f1tr-04-r7-5700u-16gb-512gb-ssd-15-6-freedos-tasinabilir-bilgisayar-p-782553602,37.809 TL,"IdeaPad 1 15ALC7 82R400F1TR-04 R7-5700U 16GB 512GB SSD 15.6"" FreeDos Taşınabilir Bilgisayar"
442,ASUS,https://www.trendyol.com//asus/tuf-gaming-f15-fx507zc4-hn205-i5-12500h-8gb-ram-512gb-ssd-4gb-rtx3050-15-6-inc-fhd-144hz-p-788113172,15.999 TL,TUF Gaming F15 FX507ZC4-HN205 i5-12500H 8GB RAM 512GB SSD 4GB RTX3050 15.6 inç FHD 144Hz
444,HP,https://www.trendyol.com//hp/victus-7p640ea-16-r0030nt-i7-13700h-16gb-1tb-rtx4050-6gb-16-1inc-144-hz-fhd-freedos-gaming-laptop-p-737388881,14.799 TL,Victus 7P640EA 16-R0030NT i7-13700H 16GB 1TB RTX4050 6GB 16.1inç 144 Hz FHD Freedos Gaming Laptop
445,Huawei,https://www.trendyol.com//huawei/matebook-d15-intel-core-i5-1155g7-8gb-256gb-ssd-windows-11-home-15-6-fhd-tasinabilir-bilgis-p-784587333,15.099 TL,Matebook D15 Intel Core i5 1155G7 8GB 256GB SSD Windows 11 Home 15.6'' FHD Taşınabilir Bilgis
446,ASUS,https://www.trendyol.com//asus/vivobook-x1502za-ej1066a-ci5-1235u-16gb-256gb-freedos-15-6-fhd-p-736768944,29.999 TL,"Vivobook X1502ZA-EJ1066A CI5-1235U 16GB 256GB Freedos 15.6""FHD"
447,Casper,https://www.trendyol.com//casper/g870-1265-dxb0x-b-intel-core-i7-12650h-32gb-ram-2tb-nvme-ssd-8gb-rtx4060-freedos-p-672155829?advertItems=eyJhZHZlcnRJZCI6IjdlMWRjYTQxLTBlNTUtNDFmNS1iZmIwLWFjODg2NTU0MTNjNCIsInNvcnRpbmdTY29yZSI6MC4wNTQyMTE1MzEzNzA4NzgyMjQsImFkU2NvcmUiOjAuMDMyNDIzMTY0Njk1NTAxMzMsImFkU2NvcmVzIjp7IjEiOjAuMDMyNDIzMTY0Njk1NTAxMzMsIjIiOjAuMDMyNDIzMTY0Njk1NTAxMzN9LCJjcGMiOjEuNjcyMDAwMDAwMDAwMDAwMiwibWluQ3BjIjowLjAxLCJlQ3BjIjoxLjQ3MjAxOTUyMzI0MDkwMTcsImFkdmVydFNsb3QiOjQsIm9yZGVyIjoxNSwiYXR0cmlidXRlcyI6IiJ9,19.999 TL,"G5 MF - i5 12500H –RTX 4050 – 16GB Ram– 512GB -15,6 Ekran Win11 İngilizce Q Klavye"
448,Dell,https://www.trendyol.com//dell/vostro-3400-core-i5-1135g7-16-gb-1-thdd-512-gb-ssd-2gb-mx330-freedos-uyumlu-14-n4030vn3400emea-p-665730904,28.999 TL,Vostro 3400 Core I5 1135g7 16 Gb 1 Thdd 512 Gb Ssd 2gb Mx330 Freedos uyumlu 14'' N4030vn3400emea
